,09:30:00.000036,10:30:00.000036,11:30:00.000036,12:30:00.000036,13:30:00.000036,14:30:00.000036,15:30:00.000036,16:00:00.000113
XLV,88.10375,88.72463528500816,88.70385311414582,88.77564978525629,88.7947777332637,88.90226043841088,88.98444629330196,89.0445927486941
TVIX,45.95085728462916,46.25955605812278,46.17583436069051,46.04612225063713,45.961343550442905,45.46287552048745,45.070422749632066,44.8723865658544
AAPL,162.5200381263095,162.0818706493593,162.1906930056173,162.19210489051795,162.2644184861567,162.56521116835432,162.97477912613311,163.22344402798507
DPW,0.09466777634130576,0.09371932697643905,0.09344949783749067,0.09291092774767429,0.09290463594565178,0.09285578234788787,0.09278121419724408,0.09275873290151684
UGAZ,38.76929270840929,38.58771034894428,38.622480179211266,38.75059454917721,38.779987057950756,38.68415974487138,38.63446367750215,38.62944132394101
HMY,1.9623118589374207,1.9495474638791916,1.954060681381815,1.9494714243238673,1.9455167492169296,1.9424256258653596,1.9515167201124262,1.9524233544411773
GOLD,12.91037115502139,12.850673987912321,12.844018479352233,12.843366327266683,12.847343963347045,12.895880022972388,12.989121747999818,12.995658415952859
DRD,2.181788856304985,2.1811275415896487,2.1803614457831326,2.1802621722846443,2.184478453967111,2.185636272961516,2.185113876319759,2.1848893016344726
QCOM,49.82252681764005,49.82207078468205,49.734675047144684,49.74135972976058,49.763686432973394,49.83253365364446,49.923792027448634,49.96393163765841
SPY,264.6921339625692,264.75228194683785,264.8889258233492,265.10600486980604,265.1800758599836,265.80437851247086,266.26807434812133,266.46484022785717
UPRO,40.684909999999995,40.72507174952891,40.81136172549021,40.900113423102646,40.93648015054462,41.25835295696672,41.57331793503907,41.627266553261144
AMD,21.224360238771627,21.845570410758423,21.96059775834275,21.988398474360526,22.005139080034265,22.05840806253327,22.14352472152576,22.214213841320845
TEF,8.71,8.632041707703506,8.638178249549368,8.641660804385793,8.643330735872068,8.659305421205366,8.687492572506484,8.69584142482153
BX,33.21314828341855,33.03638622970228,32.97513611278582,32.893701338984236,32.81675541747485,32.79057125293442,32.809257695991846,32.83163108916444
FB,145.71382095866528,146.52191460659364,146.65879654911126,146.8433113545904,147.19855726869042,147.6120136000488,148.1338796938197,148.44890482381282
AMZN,1620.6158839378238,1633.3520391594157,1636.240744768172,1638.8178399063816,1640.3695066912803,1644.0795824552486,1648.5749981499553,1650.8309214202168
GOOG,1068.4871247739602,1071.8432121442024,1070.9395999250512,1071.008723421283,1071.853873276778,1073.6992940540179,1077.0708806079842,1079.206027635772
ALGN,207.83530571174902,215.7080618316923,216.66610940111931,218.61244887031052,219.24260789344336,220.22032796674546,221.93121798446805,223.452969920565
OCX,5.4659357601713054,5.319611400685348,5.32323480763705,5.306767102387809,5.295813207555063,5.292146595859258,5.278672534142111,5.25941535425907
AU,13.809242520687462,13.733108910891092,13.705413473326624,13.697374456731595,13.69449621600738,13.699731305798233,13.738451994285716,13.744153608586897
SAP,102.04007856056766,101.65673206455939,101.54997513586184,101.55511728988768,101.55836871906216,101.59324449674209,101.80277148905549,101.94609233481238
HSBC,42.54306818181818,42.46514237140888,42.46431165519876,42.47240569821776,42.46707772448297,42.46728195746753,42.47819182109655,42.4877200014686
BP,40.40751785194998,40.423182455283666,40.41618748804101,40.42528187494771,40.42103139201316,40.45022710030466,40.48674739879162,40.50431169720965
BABA,160.68587735960426,161.81042953789932,163.14174064837422,163.26780110946876,163.3506003993586,163.6391534283666,163.95607692633845,164.14958699052417
JNUG,10.434077157360402,10.463103367185887,10.450171386754485,10.453746038009854,10.458825101243667,10.618987557425188,10.810623772688768,10.815708644188984
PCG,13.858852823686075,13.612399093147621,13.650907189185105,13.576022292565426,13.58647761790359,13.607310129494657,13.60112429918043,13.599077178214078
TME,15.616266578873109,15.534700764707457,15.048262095902995,14.996823815157715,14.997276337701841,15.00117098779386,15.004373732020404,15.005625092407888
TQQQ,43.00433759574869,43.289125113188945,43.29901084779408,43.38575652510612,43.437077647380185,43.736602844725724,43.99896107555221,44.08601005455526
VALE,12.30695855042223,12.417799064506278,12.418271186807733,12.422382867405316,12.424757466571123,12.430970029358388,12.45317055310141,12.466576946747962
VOD,17.871549110085695,17.83681082660524,17.831036049841682,17.83406638620138,17.838644525722405,17.838533565705205,17.855240497991435,17.874198730935845
QQQ,163.00478239686592,163.38713713084195,163.40653389571165,163.57514058361235,163.645578016166,164.12532033154235,164.52335757960412,164.73750835198342
ZVZZT,10.012374007508056,9.990186394045333,9.990435444463843,9.991065214807115,9.99174799033791,9.992015519167664,9.993065983847416,9.993652224468198
BCS,8.459872204472843,8.452955585393664,8.450473887377676,8.451282599576889,8.450478874891107,8.458767077392688,8.470473423980215,8.470909930780318
SQQQ,13.825046539122258,13.718224128584044,13.71434251293294,13.679429384159599,13.661113546895733,13.55579764148665,13.450025591879333,13.408464249405105
NOK,6.477663765050439,6.480278520657214,6.4864042875953904,6.488041277105594,6.487104140155379,6.489302492999147,6.527140942164745,6.530859532609603
RIO,55.43480658838309,55.37737409855449,55.24503255358304,55.179025125419074,55.12507239960262,55.11920400417367,55.15772027412096,55.16961306318282
SLV,14.934885828198622,14.921387091549235,14.937245060071476,14.938439432747066,14.939881994537435,14.971661522879291,15.00382035301985,15.007098431513423
MCD,182.02817843564375,185.56717186261534,185.74258171192398,184.9528166940448,184.7449355576263,183.8365271118566,183.48529181043403,183.28357029590168
NVO,46.5642115768463,46.70518338054768,46.76892387951715,46.77684963121966,46.77930313588851,46.804824398700426,46.84965407008787,46.874367988693564
